"Subject" "ActivityCode" "mean"
1 1 3781.07368421053
1 2 2713.2641509434
1 3 3823.44897959184
1 4 3393.91489361702
1 5 3899.43396226415
1 6 3594.62
2 1 8794.30508474576
2 2 8461.52083333333
2 3 8907
2 4 8743.28260869565
2 5 8872.55555555555
2 6 9028.83333333333
3 1 3335.39655172414
3 2 3558.83050847458
3 3 4127.79591836735
3 4 3211.63461538462
3 5 3721.34426229508
3 6 3385.22580645161
4 1 8816.48333333333
4 2 8716.48076923077
4 3 8824.6
4 4 8827.06
4 5 8928.67857142857
4 6 8960.53703703704
5 1 3648.35714285714
5 2 3626
5 3 4214.82978723404
5 4 3657.5
5 5 3910.14285714286
5 6 3738.84615384615
6 1 3902.0701754386
6 2 3243.47058823529
6 3 4003.10416666667
6 4 3535.41818181818
6 5 3562.0701754386
6 6 3603.14035087719
7 1 3639.36842105263
7 2 3499
7 3 3783.65957446808
7 4 3922.58333333333
7 5 3982.69811320755
7 6 3263.59615384615
8 1 3662.4375
8 2 3170.60975609756
8 3 3762.76315789474
8 4 3418.63043478261
8 5 3930.68518518519
8 6 3385.11111111111
9 1 8894.76923076923
9 2 8506.65306122449
9 3 9090.64285714286
9 4 8805.06
9 5 8977.33333333333
9 6 8846.98
10 1 8866.8679245283
10 2 8561.87234042553
10 3 9005.92105263158
10 4 8823.90740740741
10 5 8892.27272727273
10 6 8820.75862068966
11 1 3217.89830508475
11 2 3529.55555555556
11 3 3998.45652173913
11 4 3559.45283018868
11 5 3759.59574468085
11 6 3811.87719298246
12 1 8823.02
12 2 8794.92307692308
12 3 8880.0652173913
12 4 8852.50980392157
12 5 8853.27868852459
12 6 8749.56666666667
13 1 8813.63157894737
13 2 8674.01818181818
13 3 9055.44680851064
13 4 8860
13 5 8816.91228070175
13 6 8684.58064516129
14 1 3148.71186440678
14 2 3521.05555555556
14 3 4214.53333333333
14 4 3909.85185185185
14 5 3689.43333333333
14 6 4192.39215686274
15 1 3621.18518518519
15 2 3416.89583333333
15 3 3585.28571428571
15 4 3765.52542372881
15 5 3753
15 6 3654.91666666667
16 1 3475.49019607843
16 2 3613.54901960784
16 3 4406.1914893617
16 4 3790.20289855072
16 5 3782.41025641026
16 6 3724.68571428571
17 1 3333.90163934426
17 2 3220.60416666667
17 3 4118.67391304348
17 4 3651.1875
17 5 3517.61538461538
17 6 3506.15492957746
18 1 8799.23214285714
18 2 8818.93103448276
18 3 9041.92727272727
18 4 8875.56140350877
18 5 8946.1095890411
18 6 8818.41538461538
19 1 3590.40384615385
19 2 3602.25
19 3 4075.4358974359
19 4 3449.39726027397
19 5 3769.47945205479
19 6 3222.28915662651
20 1 8732.11764705882
20 2 8643.6862745098
20 3 9034.2
20 4 8775.01515151515
20 5 8882.78082191781
20 6 8361.82352941176
21 1 3722.94230769231
21 2 3613.1914893617
21 3 3785.77777777778
21 4 3803.36470588235
21 5 3733
21 6 3476.92222222222
22 1 3957.9347826087
22 2 3527.71428571429
22 3 3905.38888888889
22 4 3929.5
22 5 3878.49206349206
22 6 3747.18055555556
23 1 3277.98305084746
23 2 2885.88235294118
23 3 4124.59259259259
23 4 3517.52941176471
23 5 3688.76470588235
23 6 3904.73611111111
24 1 8823.8275862069
24 2 8833.25423728814
24 3 9067.52727272727
24 4 8744.02941176471
24 5 8960.24637681159
24 6 8816.80555555555
25 1 3976.95945945946
25 2 3842.72307692308
25 3 4308.70689655172
25 4 3868.01538461538
25 5 3838.72972972973
25 6 3298.27397260274
26 1 3573.76271186441
26 2 3230.32727272727
26 3 3473.6
26 4 3745.97435897436
26 5 4019.52702702703
26 6 3792.68421052632
27 1 3494.84210526316
27 2 3084.78431372549
27 3 4321.38636363636
27 4 3613.47142857143
27 5 3808.5625
27 6 3195.52702702703
28 1 3783.22222222222
28 2 3204.74509803922
28 3 4050.5
28 4 3667.18055555556
28 5 3782.25316455696
28 6 3668.8
29 1 3569.37735849057
29 2 3396.26530612245
29 3 4270.47916666667
29 4 3744.21666666667
29 5 3778.33846153846
29 6 4003.84057971014
30 1 3435.43076923077
30 2 3655.33846153846
30 3 3915.61290322581
30 4 3992.04838709677
30 5 3678.72881355932
30 6 4144.25714285714
